18_septiembre [??:18/9/??:??.??:??] W 1
Misantla misantla NP00000 1
, , Fc 1
narra narrar VMIP3S0 0.954545
que que CS 0.437483
entr entr VMN0000 0.633987
� � Fz 1
en en SPS00 1
trabajo trabajo NCMS000 0.949029
de de SPS00 0.999984
parto parto NCMS000 0.916667
cuando cuando CS 0.985595
comenz comenz NCFS000 0.620205
� � Fz 1
la el DA0FS0 0.972269
emergencia emergencia NCFS000 1
clim clim NCMS000 0.700265
� � Fz 1
tica tica AQ0FS0 0.595788
y y CC 0.999962
no no RN 0.998134
pudo poder VMIS3S0 1
llegar llegar VMN0000 1
a a SPS00 0.996023
una_cl VL_cl:1 Zu 1
� � Fz 1
nica nica AQ0FS0 0.730709
. . Fp 1

" " Fe 1
Cuando cuando CS 0.985595
llegamos llegar VMIP1P0 0.65
dijeron decir VMIS3P0 1
que que CS 0.437483
no no RN 0.998134
hab hab NCMS000 0.63631
� � Fz 1
a a SPS00 0.996023
paso paso NCMS000 0.905738
para para SPS00 0.999103
Misantla misantla NP00000 1
y y CC 0.999962
mi mi DP1CSS 0.999101
esposo esposo NCMS000 0.97619
baj baj NCMS000 0.692259
� � Fz 1
a a SPS00 0.996023
ver ver VMN0000 0.997382
si si CS 0.99954
nos nos PP1CP000 0.935743
daban_paso dar_paso VMII3P0 1
, , Fc 1
pero pero CC 0.999764
no no RN 0.998134
pudieron poder VMIS3P0 1
. . Fp 1
Nos nos PP1CP000 0.935206
dijeron decir VMIS3P0 1
que que CS 0.437483
la el DA0FS0 0.972269
doctora doctor NCFS000 0.846935
pod pod NCFS000 0.961424
� � Fz 1
a a SPS00 0.996023
ayudar ayudar VMN0000 1
nos nos PP1CP000 1
( ( Fpa 1
en en SPS00 1
un uno DI0MS0 0.987295
albergue albergue NCMS000 0.875
) ) Fpt 1
" " Fe 1
, , Fc 1
dice decir VMIP3S0 1
Heidi heidi NP00000 1
en en SPS00 1
las el DA0FP0 0.970954
im im NCMS000 0.700265
� � Fz 1
genes gen NCMP000 1
que que PR0CN000 0.562517
difundi difundi VMIS1S0 1
� � Fz 1
el el DA0MS0 1
gobierno gobierno NCMS000 0.97619
de de SPS00 0.999984
Veracruz veracruz NP00000 1
en en SPS00 1
la el DA0FS0 0.972269
red red NCFS000 1
social social AQ0CS0 0.995283
Youtube youtube NP00000 1
. . Fp 1

Ya ya RG 0.999395
en en SPS00 1
el el DA0MS0 1
refugio refugio NCMS000 0.954545
, , Fc 1
Protecci protecci NP00000 1
� � Fz 1
n n NCFS000 1
Civil civil NP00000 1
tuvo tener VMIS3S0 1
que que CS 0.437483
conseguir conseguir VMN0000 1
las el DA0FP0 0.970954
herramientas herramienta NCFP000 1
para para SPS00 0.999103
que que CS 0.437483
la el DA0FS0 0.972269
doctora doctor NCFS000 0.846935
Reina_Mendoza reina_mendoza NP00000 1
pudiera poder VMSI3S0 0.622727
atender atender VMN0000 1
el el DA0MS0 1
parto parto NCMS000 0.916667

